,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
104,ARMK,Aramark,,,,,,,15789600000.0,0.081,567900000.0,0.519,13720100000.0,7278100000,Consumer Cyclical,Restaurants,9/12/20,,183300.0,1.59,-11.11,-1.36,,,,,,,,,,
105,ARNC,Arconic,36.0,,,,,8/4/18,14014000000.0,0.081,642000000.0,-,18693000000.0,8658400000,Industrials,Specialty Industrial Machinery,9/12/20,,15400.0,0.0,,,,,,,,,,,,
106,ARRY,Array BioPharma Inc.,,,,,,,,,,,,,,,9/12/20,,,,,,,,,,,,,,,
107,ARW,Arrow Electronics,,,,,,,29676800000.0,0.107,716200000.0,0.782,17784400000.0,6564400000,Technology,Electronics & Computer Distribution,9/12/20,,19300.0,0.0,0.42,7.09,12.27,,,,,,,,,
108,ARX.TO,ARC Resources Ltd.,,,,,,,,,,,,,Energy,Oil & Gas E&P,9/12/20,,438.0,4.05,,,,,,,,,,,,
109,ASML,ASML Holding ADR,79.0,,,,maybe,8/4/18,,,,,,,Technology,Semiconductor Equipment & Materials,9/12/20,,24330.0,0.82,31.0,32.07,26.89,,,,,,,,,
110,ASNA,Ascena Retail Group,,,,,,,6578300000.0,-0.011,-39700000.0,-,3570500000.0,213400000,Consumer Cyclical,Apparel Stores,9/12/20,,39500.0,0.0,,,,,,,,,,,,
111,ASSA-B.ST,ASSA Abloy AB,,,,,,,,,,,,,Industrials,Security & Protection Services,9/12/20,,48033.0,1.0,,,,,,,,,,,,
112,ASX,Australian Services Exchange,,,,,no,,,,,,,,Technology,Semiconductors,9/12/20,,95448.0,0.0,-3.49,2.0,9.16,,,,,,,,,
113,ATHM,Autohome Inc.,,,,,,,,,,,,,Communication Services,Internet Content & Information,9/12/20,,4006.0,0.9,11.18,25.37,,,,,,,,,,
114,ATUS,Altice USA,,,,,,,9566600000.0,0.026,18800000.0,-0.988,33613800000.0,14708000000,Communication Services,Telecom Services,9/12/20,,10700.0,0.0,-0.6,,,,,,,,,,,
115,ATVI,Activision Blizzard,70.0,,,,,8/4/18,7500000000.0,0.069,1813000000.0,5.641,17835000000.0,34777400000,Communication Services,Electronic Gaming & Multimedia,9/12/20,,9080.0,0.52,6.13,22.27,21.9,,,,,,,,,
116,AVB,AvalonBay Communities,83.0,,,,,8/4/18,,,,,,,Real Estate,REIT—Residential,9/12/20,,3122.0,4.17,-3.8,1.5,6.41,,,,,,,,,
117,AVGO,Broadcom,60.0,3.5,,,yes,9/8/19,20848000000.0,0.181,12259000000.0,6.245,50124000000.0,1.19E+11,Technology,Semiconductors,9/12/20,,19000.0,3.64,16.14,24.59,35.79,,,,,,,,,
118,AVT,Avnet,37.0,3.3,,,,9/8/19,19036900000.0,-0.168,-156400000.0,-1.298,9596800000.0,4702500000,Technology,Electronics & Computer Distribution,9/12/20,,14600.0,3.06,-7.46,-6.19,2.72,,,,,,,,,
119,AVY,Avery Dennison,83.0,,,,,8/4/18,7159000000.0,0.082,467400000.0,0.659,5177500000.0,9488900000,Industrials,Business Equipment & Supplies,9/12/20,,28250.0,2.0,10.26,17.15,14.61,,,,,,,,,
120,AWK,American Water Works,38.0,,,,,8/4/18,,,,,,,Utilities,Utilities—Regulated Water,9/12/20,,6800.0,1.56,20.99,23.6,21.25,,,,,,,,,
121,AWR,American States Water Co.,,,,,,,,,,,,,Utilities,Utilities—Regulated Water,9/12/20,,841.0,1.81,14.26,15.51,17.31,,,,,,,,,
122,AXE,Anixter International,,,,,,,8400200000.0,0.06,156300000.0,0.434,4653100000.0,1878700000,Industrials,Industrial Distribution,9/12/20,,9300.0,0.0,,,,,,,,,,,,
123,AXL,American Axle & Manufacturing,,,,,,,7270400000.0,0.16,-57500000.0,-1.171,7510700000.0,1599000000,Consumer Cyclical,Auto Parts,9/12/20,,20000.0,0.0,-20.68,-17.32,-1.31,,,,,,,,,
124,AXP,American Express,57.0,,,,,8/4/18,43281000000.0,0.216,6921000000.0,1.53,189000000000.0,91675100000,Financial Services,Credit Services,9/12/20,,64000.0,1.67,8.03,7.91,11.07,,,,,,,,,
125,AXTA,Axalta Coating Systems Ltd,,,,,no,8/4/18,,,,,,,Basic Materials,Specialty Chemicals,9/12/20,,13000.0,0.0,-7.06,-3.89,,,,,,,,,,
126,AY,Atlantica Yield,,,,,,,,,,,,,Utilities,Utilities—Renewable,9/12/20,,425.0,6.11,15.02,12.17,,,,,,,,,,
127,AYI,Acuity Brands,40.0,,,,,8/4/18,,,,,,,Industrials,Electrical Equipment & Parts,9/12/20,,12000.0,0.5,-16.17,-10.86,10.47,,,,,,,,,
128,AYX,Alteryx,,,,,,,,,,,,,Technology,Software—Application,9/12/20,,1515.0,0.0,75.23,,,,,,,,,,,
129,AZO,AutoZone,42.0,,,,,8/4/18,11221100000.0,0.031,1337500000.0,0.044,9347000000.0,25487900000,Consumer Cyclical,Specialty Retail,9/12/20,,55680.0,0.0,31.71,11.16,18.94,,,,,,,,,
130,B4O2,Windstream Holdings,,,,,,,5713100000.0,-0.024,-723000000.0,-,10257900000.0,12900000,,,9/12/20,,11945.0,,-69.31,-29.7,-8.26,,,,,,,,,
131,BA,Boeing,53.0,,,,,8/4/18,101000000000.0,0.083,10460000000.0,0.276,117000000000.0,2.15E+11,Industrials,Aerospace & Defense,9/12/20,,161100.0,0.0,-9.43,6.93,12.08,,,,,,,,,
132,BABA,Alibaba,58.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Internet Retail,9/12/20,,120535.0,0.0,15.99,33.26,,,,,,,,,,
133,BAC,Bank of America Corp.,55.0,,,,,8/4/18,111000000000.0,0.103,28147000000.0,0.544,2350000000000.0,2.66E+11,Financial Services,Banks—Diversified,9/12/20,,213000.0,2.86,5.41,11.73,7.65,,,,,,,,,
134,BAH,Booz Allen Hamilton Holding,62.0,,,,,8/4/18,6171900000.0,0.063,305100000.0,0.208,3603400000.0,8144400000,Industrials,Consulting Services,9/12/20,,27400.0,1.47,35.55,26.97,,,,,,,,,,
135,BAJFINANCE.NS,Bajaj Finance Limited,,,,,,,,,,,,,Financial Services,Credit Services,9/12/20,,26969.0,0.46,,,,,,,,,,,,
136,BAX,Baxter International,46.0,,,,,8/4/18,11127000000.0,0.054,1624000000.0,1.265,15641000000.0,41558900000,Healthcare,Medical Instruments & Supplies,9/12/20,,50000.0,1.18,10.0,19.18,11.33,,,,,,,,,
137,BBBY,Bed Bath & Beyond,28.0,,,,,8/4/18,12349300000.0,0.011,424900000.0,-0.38,7040800000.0,2335700000,Consumer Cyclical,Specialty Retail,9/12/20,,55000.0,17.94,-20.68,-25.14,-9.76,,,,,,,,,
138,BBT,BB&T Corp.,48.0,,,,,8/4/18,12996000000.0,0.069,3237000000.0,0.352,226000000000.0,35541000000,Financial Services,Banks - Regional - US,9/12/20,,35852.0,,51.83,54.31,-5.56,,,,,,,,,
139,BBVA,Banco Bilbao Vizcaya Argentaria,,,,,,,,,,,,,Financial Services,Banks—Diversified,9/12/20,,125041.0,15.87,,,,,,,,,,,,
140,BBY,Best Buy,62.0,,,,,8/4/18,42879000000.0,0.017,1464000000.0,0.464,12901000000.0,19030200000,Consumer Cyclical,Specialty Retail,9/12/20,,125000.0,2.05,26.28,24.82,13.42,,,,,,,,,
141,BCE,BCE Inc.,,,,,,,,,,,,,Communication Services,Telecom Services,9/12/20,,52100.0,5.87,1.44,6.01,7.39,,,,,,,,,
142,BCR,C.R. Bard,48.0,,,,,8/4/18,,,,,,,Health Care,Health Care Equipment,9/12/20,,,,,,,,,,,,,,,
143,BCSF,Bain Capital Specialty Finance,,,,,,,,,,,,,Financial Services,Asset Management,9/12/20,,,12.84,,,,,,,,,,,,
144,BDEV.L,Barratt Developments Plc,,,,,,,,,,,,,Consumer Cyclical,Residential Construction,9/12/20,,6700.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
145,BDX,Becton Dickinson,50.0,,,,,8/4/18,15983000000.0,0.322,311000000.0,-0.717,53904000000.0,67193200000,Healthcare,Medical Instruments & Supplies,9/12/20,,65000.0,1.35,6.32,13.0,13.84,,,,,,,,,
146,BECN,Beacon Roofing Supply,,,,,,,6418300000.0,0.466,98600000.0,-0.022,6508700000.0,2201000000,Industrials,Building Products & Equipment,9/12/20,,8147.0,0.0,-14.83,-3.53,7.49,,,,,,,,,
147,BEN,Franklin Templeton Investments,56.0,,,,,8/4/18,6319100000.0,-0.011,764400000.0,-0.549,14383500000.0,16885200000,Financial Services,Asset Management,9/12/20,,9500.0,5.38,-14.37,-6.83,-0.82,,,,,,,,,
148,BEP,Brookfield Renewable Partners,53.0,3.9,,,,9/8/19,,,,,,,Utilities,Utilities—Renewable,9/12/20,,3000.0,3.86,21.81,20.62,14.05,,,,,,,,,
149,BERY,Berry Global Group,,,,,,,7869000000.0,0.109,496000000.0,0.459,9131000000.0,7024900000,Consumer Cyclical,Packaging & Containers,9/12/20,,47000.0,0.0,-2.95,11.28,,,,,,,,,,
150,BF-B,Brown-Forman,83.0,,,,yes,8/4/18,,,,,,,Consumer Defensive,Beverages—Wineries & Distilleries,9/12/20,,4800.0,0.88,,,,,,,,,,,,
151,BHF,Brighthouse Financial,,,,,,,8965000000.0,-,865000000.0,-,206000000000.0,4230200000,Financial Services,Insurance—Life,9/12/20,,1330.0,0.0,-18.8,,,,,,,,,,,
152,BHI,Baker Hughes,37.0,,,,,8/4/18,,,,,,,Energy,Oil & Gas Equipment & Services,9/12/20,,,,,,,,,,,,,,,
153,BHP,BHP Group,,,,,,,,,,,,,Basic Materials,Other Industrial Metals & Mining,9/12/20,,,4.18,13.35,14.11,1.32,,,,,,,,,
154,BIDU,Baidu,,,,,,,,,,,,,Communication Services,Internet Content & Information,9/12/20,,37779.0,0.0,-19.76,-3.49,3.64,,,,,,,,,
155,BIIB,Biogen,31.0,,,,,8/4/18,13452900000.0,0.096,4430700000.0,0.745,25288900000.0,46498000000,Healthcare,Drug Manufacturers—General,9/12/20,,7400.0,0.0,-6.15,-1.84,17.42,,,,,,,,,
156,BIP,Brookfield Infrastructure Partners,,,,,,,,,,,,,Utilities,Utilities—Diversified,9/12/20,,,4.2,8.06,18.58,18.04,,,,,,,,,
157,BITA,Bitauto Holdings Limited,,,,,,,,,,,,,Communication Services,Advertising Agencies,9/12/20,,6837.0,0.0,-25.78,-8.98,,,,,,,,,,
158,BJ,BJ's Wholesale Club,,,,,,,13007300000.0,0.02,127300000.0,1.53,3239300000.0,3776600000,Consumer Defensive,Discount Stores,9/12/20,,27231.0,0.0,,,,,,,,,,,,
159,BK,Bank of New York Mellon Corp.,47.0,,,,,8/4/18,19214000000.0,0.156,4266000000.0,0.043,363000000000.0,48152700000,Financial Services,Asset Management,9/12/20,,48300.0,3.49,-8.57,0.67,5.54,,,,,,,,,
160,BKEP,Blueknight Energy Partners L.P.,58.0,,,,,8/4/18,,,,,,,Energy,Oil & Gas Midstream,9/12/20,,270.0,11.27,-25.73,-10.76,-4.91,,,,,,,,,
161,BKI,Black Knight,,,,,,8/4/18,,,,,,,Technology,Software—Infrastructure,9/12/20,,4900.0,0.0,24.02,18.43,,,,,,,,,,
162,BKNG,Booking Holdings,,,,,,,14527000000.0,0.146,3998000000.0,0.708,22687000000.0,78543200000,Consumer Cyclical,Travel Services,9/12/20,,25000.0,0.0,-1.54,6.69,18.63,,,,,,,,,
163,BKS,Barnes & Noble,27.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Specialty Retail,9/12/20,,,,,,,,,,,,,,,
164,BKU,"BankUnited, Inc.",35.0,2.9,,,,9/8/19,,,,,,,Financial Services,Banks—Regional,9/12/20,,1493.0,4.1,-7.6,-5.77,,,,,,,,,,
165,BLDR,Builders FirstSource,,,,,,,7724800000.0,0.098,205200000.0,4.291,2932300000.0,1538900000,Industrials,Building Products & Equipment,9/12/20,,15800.0,0.0,23.9,14.51,31.21,,,,,,,,,
166,BLK,BlackRock,69.0,,,,yes,8/4/18,14198000000.0,0.137,4305000000.0,-0.134,160000000000.0,67538100000,Financial Services,Asset Management,9/12/20,,16300.0,2.67,10.99,14.57,15.38,,,,,,,,,
167,BLL,Ball,43.0,,,,,8/4/18,11635000000.0,0.059,454000000.0,0.214,16554000000.0,19335000000,Consumer Cyclical,Packaging & Containers,9/12/20,,18300.0,0.74,26.66,20.26,19.04,,,,,,,,,
168,BLMN,Bloomin Brands,,,,,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,9/12/20,,94000.0,0.0,0.9,-2.33,,,,,,,,,,
169,BMI,Badger Meter,58.0,,,,,8/4/18,,,,,,,Industrials,Electrical Equipment & Parts,9/12/20,,1567.0,,12.09,17.38,12.97,,,,,,,,,
170,BMO,Bank of Montreal,,,,,,,,,,,,,Financial Services,Banks—Diversified,9/12/20,,45513.0,5.3,-2.21,7.71,4.22,,,,,,,,,
171,BMW,BMW,,,,,,,,,,,,,,,9/12/20,,,,-4.05,-1.28,7.13,,,,,,,,,
172,BMY,Bristol-Myers Squibb,53.0,,,,,8/4/18,22561000000.0,0.086,4920000000.0,3.886,34986000000.0,77895000000,Healthcare,Drug Manufacturers—General,9/12/20,,30000.0,3.09,0.66,2.51,10.58,,,,,,,,,
173,BOSCHLTD.NS,Bosch,66.0,,,,no,8/4/18,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,9189.0,0.81,,,,,,,,,,,,
174,BPL,Buckeye Partners L.P.,49.0,,,,,8/4/18,,,,,,,Energy,Oil & Gas Midstream,9/12/20,,,,,,,,,,,,,,,
175,BPMC,Blueprint Medicines Corporation,,,,,,,,,,,,,Healthcare,Biotechnology,9/12/20,,419.0,0.0,11.07,17.63,,,,,,,,,,
176,BRK.A,Berkshire Hathaway,44.0,3.1,,,yes,9/8/19,248000000000.0,0.024,4021000000.0,-0.911,708000000000.0,4.94E+11,Financial Services,Insurance - Diversified,9/12/20,,389000.0,0.0,7.02,10.53,10.19,,,,,,,,,
177,BRK.B,Berkshire Hathaway,44.0,3.1,,,yes,9/8/19,,,,,,,Financial Services,Insurance - Diversified,9/12/20,,,0.0,7.01,10.65,10.17,,,,,,,,,
178,BSET,Bassett Furniture Industries,37.0,,,,,8/4/18,,,,,,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9/12/20,,2555.0,2.6,-26.97,-13.55,14.39,,,,,,,,,
179,BSIG,BrightSphere Investment Group,,,,,,,,,,,,,Financial Services,Asset Management,9/12/20,,54.0,0.31,1.47,-1.96,,,,,,,,,,
180,BSX,Boston Scientific,75.0,,,,,8/4/18,9823000000.0,0.086,1671000000.0,15.067,20999000000.0,53367400000,Healthcare,Medical Devices,9/12/20,,36000.0,0.0,11.65,18.99,22.42,,,,,,,,,
181,BTU,Peabody Energy,,,,,,,5581800000.0,0.001,646900000.0,-,7423700000.0,3065600000,Energy,Thermal Coal,9/12/20,,6600.0,17.79,-41.9,,,,,,,,,,,
182,BUD,Anheuser-Busch,54.0,,,,no,8/4/18,,,,,,,Consumer Defensive,Beverages—Brewers,9/12/20,,170000.0,2.54,-19.32,-7.77,4.25,,,,,,,,,
183,BURBY,Burberry,,,,,,,,,,,,,Consumer Cyclical,Luxury Goods,9/12/20,,10161.0,0.0,-3.95,0.7,6.0,,,,,,,,,
184,BURL,Burlington Stores,,,,,,,6668500000.0,0.091,414700000.0,0.078,3079200000.0,10509600000,Consumer Cyclical,Apparel Retail,9/12/20,,47000.0,0.0,32.38,30.75,,,,,,,,,,
185,BWA,BorgWarner,65.0,,,,,8/4/18,10529600000.0,0.075,930700000.0,1.116,10095300000.0,7974300000,Consumer Cyclical,Auto Parts,9/12/20,,29000.0,1.63,-1.86,1.05,7.24,,,,,,,,,
186,BX,Blackstone Group,69.0,,,,no,8/4/18,6833300000.0,-0.04,1541800000.0,0.048,28924700000.0,23030900000,Financial Services,Asset Management,9/12/20,,2905.0,3.62,21.47,12.72,20.9,,,,,,,,,
187,BXP,Boston Properties,63.0,,,,,8/4/18,,,,,,,Real Estate,REIT—Office,9/12/20,,760.0,4.64,-7.98,-2.42,3.43,,,,,,,,,
188,BYND,Beyond Meat,,,,,maybe,,,,,,,,Consumer Defensive,Packaged Foods,9/12/20,,472.0,0.0,,,,,,,,,,,,
189,BZUN,Baozun Inc.,,,,,,,,,,,,,Consumer Cyclical,Internet Retail,9/12/20,,5979.0,0.0,4.61,48.53,,,,,,,,,,
190,C,Citigroup,53.0,3.5,,,no,9/8/19,97120000000.0,0.104,18045000000.0,-,1920000000000.0,1.46E+11,Financial Services,Banks—Diversified,9/12/20,,204000.0,4.0,-5.96,2.36,3.96,,,,,,,,,
191,CA,CA Technologies Inc,40.0,,,,,8/4/18,,,,,,,Information Technology,Systems Software,9/12/20,,,,,,,,,,,,,,,
192,CACC,Credit Acceptance,64.0,3.8,,,yes,9/8/19,,,,,,,Financial Services,Credit Services,9/12/20,,2016.0,0.0,8.6,10.83,18.9,,,,,,,,,
193,CAE,CAE Inc.,55.0,,,,,8/4/18,,,,,,,Industrials,Aerospace & Defense,9/12/20,,10000.0,0.0,-1.55,8.68,5.52,,,,,,,,,
194,CAG,ConAgra Foods,31.0,,,,,8/4/18,7938300000.0,-0.14,808400000.0,0.265,10389500000.0,13471700000,Consumer Defensive,Packaged Foods,9/12/20,,16500.0,2.45,2.13,4.7,10.07,,,,,,,,,
195,CAH,Cardinal Health,52.0,,,,,8/4/18,137000000000.0,0.053,256000000.0,-0.801,39951000000.0,14349500000,Healthcare,Medical Distribution,9/12/20,,48000.0,4.0,-8.12,-7.52,7.13,,,,,,,,,
196,CAKE,Cheesecake Factory,60.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,9/12/20,,46250.0,0.0,-6.79,-9.32,3.21,,,,,,,,,
197,CAMP,CalAmp Corp.,,,,,,,,,,,,,Technology,Communication Equipment,9/12/20,,1080.0,0.0,-24.03,-12.11,13.18,,,,,,,,,
198,CAR,Avis Budget Group,38.0,,,,,8/4/18,9124000000.0,0.031,165000000.0,-0.543,19149000000.0,2646200000,Industrials,Rental & Leasing Services,9/12/20,,21200.0,0.0,-3.75,-5.74,12.55,,,,,,,,,
199,CASY,Casey's General Stores,,,,,,,7472100000.0,0.125,317900000.0,0.791,3469900000.0,4716900000,Consumer Defensive,Grocery Stores,9/12/20,,17282.0,0.72,19.83,10.85,15.75,,,,,,,,,
200,CAT,Caterpillar,41.0,,,,,8/4/18,54722000000.0,0.204,6147000000.0,7.153,78509000000.0,77980300000,Industrials,Farm & Heavy Construction Machinery,9/12/20,,102300.0,2.75,11.5,18.67,9.84,,,,,,,,,
201,CATO,Cato Corp,,,,,,,,,,,,,Consumer Cyclical,Apparel Retail,9/12/20,,10060.0,0.0,-3.71,-15.39,-1.51,,,,,,,,,
202,CATX,Credit Acceptance Corp,,,,,,,,,,,,,,,9/12/20,,,,,,,,,,,,,,,
203,CB,Chubb Limited,48.0,,,,yes,8/4/18,,,,,,,Financial Services,Insurance—Property & Casualty,9/12/20,,33000.0,2.62,-3.89,6.0,10.08,,,,,,,,,
204,CBRE,CBRE Group,64.0,3.6,,,,9/8/19,21340100000.0,0.502,1063200000.0,0.538,13456800000.0,16607000000,Real Estate,Real Estate Services,9/12/20,,100000.0,0.0,8.24,7.44,9.9,,,,,,,,,
205,CBRL,Cracker Barrel Old Country Store,50.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,9/12/20,,73000.0,0.0,2.51,2.59,14.54,,,,,,,,,
206,CBS,CBS,52.0,,,,,8/4/18,14514000000.0,-0.013,1960000000.0,4.49,21859000000.0,17727300000,Consumer Cyclical,Media - Diversified,9/12/20,,14750.0,0.0,24.93,31.28,-31.83,,,,,,,,,
207,CC,Chemours,,,,,,,6638000000.0,0.074,995000000.0,0.334,7362000000.0,6179100000,Basic Materials,Specialty Chemicals,9/12/20,,7000.0,4.87,-22.11,21.59,,,,,,,,,,
208,CCI,Crown Castle International,65.0,,,,,8/4/18,,,,,,,Real Estate,REIT—Specialty,9/12/20,,5100.0,3.02,17.13,17.89,15.72,,,,,,,,,
209,CCJ,Cameo Corp,,,,,,,,,,,,,Energy,Uranium,9/12/20,,,0.57,3.23,-2.85,-6.28,,,,,,,,,
210,CCK,Crown Holdings,57.0,,,,,8/4/18,11151000000.0,0.282,439000000.0,0.359,15262000000.0,7384900000,Consumer Cyclical,Packaging & Containers,9/12/20,,33000.0,0.0,7.74,9.03,9.93,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
211,CCL,Carnival Corp.,60.0,,,,maybe,8/4/18,,,,,,,Consumer Cyclical,Travel Services,9/12/20,,150000.0,0.0,-30.62,-13.15,-1.35,,,,,,,,,
212,CDW,CDW,74.0,3.9,,,,9/8/19,16240500000.0,0.069,643000000.0,0.229,7167700000.0,14172100000,Technology,Information Technology Services,9/12/20,,9783.0,1.38,24.21,23.05,,,,,,,,,,
213,CE,Celanese,,,,,,,7155000000.0,0.165,1207000000.0,0.432,9313000000.0,12606600000,Basic Materials,Chemicals,9/12/20,,7700.0,2.36,4.89,13.77,15.18,,,,,,,,,
214,CEIX,Consol Energy,36.0,,,,,8/4/18,,,,,,,Energy,Thermal Coal,9/12/20,,1792.0,0.0,,,,,,,,,,,,
215,CELG,Celgene,69.0,,,,,8/4/18,15281000000.0,0.175,4046000000.0,0.376,35480000000.0,66242200000,Healthcare,Drug Manufacturers - Major,9/12/20,,8852.0,,,,,,,,,,,,,
216,CENX,Century Aluminum,,,,,,,,,,,,,Basic Materials,Aluminum,9/12/20,,2079.0,0.0,-20.49,11.2,-1.5,,,,,,,,,
217,CERN,Cerner,69.0,,,,maybe,8/4/18,,,,,,,Healthcare,Health Information Services,9/12/20,,27400.0,1.01,0.64,2.82,13.69,,,,,,,,,
218,CETV,Central European Media,,,,,,,,,,,,,Communication Services,Broadcasting,9/12/20,,2550.0,0.0,1.35,15.85,-14.92,,,,,,,,,
219,CF,CF Industries Holdings,69.0,3.7,,,maybe,9/8/19,,,,,,,Basic Materials,Agricultural Inputs,9/12/20,,3000.0,3.72,4.59,-6.76,8.29,,,,,,,,,
220,CFG,Citizens Financial Group,49.0,,,,,8/4/18,7354000000.0,0.139,1721000000.0,0.042,161000000000.0,14962700000,Financial Services,Banks—Regional,9/12/20,,18312.0,5.84,-2.72,5.52,,,,,,,,,,
221,CG,Carlyle Grou,,,,,,,,,,,,,Financial Services,Asset Management,9/12/20,,1800.0,3.9,10.68,9.22,,,,,,,,,,
222,CGC,Canopy Growth Corporation,,,,,,,,,,,,,Healthcare,Drug Manufacturers—Specialty & Generic,9/12/20,,4434.0,0.0,27.41,68.64,,,,,,,,,,
223,CHD,Church & Dwight,71.0,,,,,8/4/18,,,,,,,Consumer Defensive,Household & Personal Products,9/12/20,,4800.0,1.03,24.42,18.2,20.12,,,,,,,,,
224,CHDN,Churchill Downs Incorporated,,,,,yes,8/4/18,,,,,,,Consumer Cyclical,Gambling,9/12/20,,5500.0,0.34,35.64,29.08,30.35,,,,,,,,,
225,CHK,Chesapeake Energy,29.0,,,,,8/4/18,10231000000.0,0.077,873000000.0,-0.08,10947000000.0,5058300000,Energy,Oil & Gas E&P,9/12/20,,2350.0,0.0,4.55,5.14,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
226,CHKP,Check Point Software Technologies Ltd.,,,,,,,,,,,,,Technology,Software—Infrastructure,9/12/20,,5258.0,0.0,1.62,8.36,13.1,,,,,,,,,
227,CHRW,Burlington Stores,43.0,,,,,8/4/18,16631200000.0,0.118,664500000.0,0.316,4427400000.0,11948800000,Industrials,Integrated Freight & Logistics,9/12/20,,15338.0,2.07,12.8,9.49,5.46,,,,,,,,,
228,CHS,CHS,,,,,,,32683300000.0,0.02,775900000.0,9.838,16381200000.0,#VALUE!,Consumer Cyclical,Apparel Retail,9/12/20,,4788.0,0.0,-37.42,-29.42,-8.06,,,,,,,,,
229,CHTR,Spectrum,37.0,,,,,8/4/18,43634000000.0,0.049,1230000000.0,-0.876,146000000000.0,85923400000,Communication Services,Entertainment,9/12/20,,95100.0,0.0,16.44,24.14,31.95,,,,,,,,,
230,CI,Cigna,56.0,3.5,,,maybe,9/8/19,48650000000.0,0.169,2637000000.0,0.179,153000000000.0,61058900000,Healthcare,Healthcare Plans,9/12/20,,73700.0,0.02,-3.11,3.96,17.23,,,,,,,,,
231,CINF,Cincinnati Financial,68.0,,,,,8/4/18,,,,,,,Financial Services,Insurance—Property & Casualty,9/12/20,,5148.0,3.11,3.15,10.56,13.08,,,,,,,,,
232,CIOXY,Cielo SA,52.0,,,,,8/4/18,,,,,,,Technology,Software—Infrastructure,9/12/20,,3000.0,1.0,-40.93,-22.49,-3.06,,,,,,,,,
233,CL,Colgate-Palmolive,58.0,,,,,8/4/18,15544000000.0,0.006,2400000000.0,0.186,12161000000.0,58931400000,Consumer Defensive,Household & Personal Products,9/12/20,,34300.0,2.3,4.35,6.53,9.3,,,,,,,,,
234,CLDR,"Cloudera, Inc.",,,,,,,,,,,,,Technology,Software—Application,9/12/20,,2719.0,0.0,-16.49,,,,,,,,,,,
235,CLF,Cliffs Natural Resources,25.0,,,,,8/4/18,,,,,,,Basic Materials,Steel,9/12/20,,2372.0,3.93,-6.29,12.03,-16.5,,,,,,,,,
236,CLR,Continental Resources,76.0,,,,,8/4/18,,,,,,,Energy,Oil & Gas E&P,9/12/20,,1260.0,0.0,-27.01,-14.04,-4.72,,,,,,,,,
237,CLX,Clorox,82.0,,,,yes,8/4/18,6124000000.0,0.025,823000000.0,0.174,5060000000.0,20565200000,Consumer Defensive,Household & Personal Products,9/12/20,,8800.0,2.07,18.53,16.05,13.94,,,,,,,,,
238,CMA,Comerica,29.0,,,,,8/4/18,,,,,,,Financial Services,Banks—Regional,9/12/20,,7777.0,6.94,-11.61,2.55,3.32,,,,,,,,,
239,CMCM,Cheetah Mobile Inc,,,,,no,8/4/18,,,,,,,Technology,Software—Application,9/12/20,,2209.0,0.0,-25.37,-25.36,,,,,,,,,,
240,CMCSA,Comcast,58.0,,,,,8/4/18,94507000000.0,0.118,11731000000.0,-0.484,252000000000.0,1.81E+11,Communication Services,Entertainment,9/12/20,,190000.0,2.09,7.54,11.29,18.42,,,,,,,,,
241,CME,CME Group,56.0,,,,,8/4/18,,,,,,,Financial Services,Financial Data & Stock Exchanges,9/12/20,,4360.0,2.07,11.8,15.12,14.53,,,,,,,,,
242,CMG,Chipotle Mexican Grill,49.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,9/12/20,,91000.0,0.0,62.01,12.22,22.83,,,,,,,,,
243,CMI,Cummins,58.0,,,,,8/4/18,23771000000.0,0.164,2141000000.0,1.143,19062000000.0,24839100000,Industrials,Specialty Industrial Machinery,9/12/20,,61600.0,2.53,10.51,13.84,11.41,,,,,,,,,
244,CMS,CMS Energy,41.0,,,,,8/4/18,6873000000.0,0.044,657000000.0,0.428,24529000000.0,15760000000,Utilities,Utilities—Regulated Electric,9/12/20,,8128.0,2.68,10.04,15.77,15.21,,,,,,,,,
245,CNC,Centene,53.0,3.1,,,no,9/8/19,60116000000.0,0.238,900000000.0,0.087,30901000000.0,21939700000,Healthcare,Healthcare Plans,9/12/20,,56600.0,0.0,7.63,12.22,26.4,,,,,,,,,
246,CNHI,CNH Industrial,47.0,3.5,,,,9/8/19,,,,,,,Industrials,Farm & Heavy Construction Machinery,9/12/20,,63499.0,0.0,-8.99,3.79,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
247,CNI,Canadian National Railway,57.0,,,,,8/4/18,,,,,,,Industrials,Railroads,9/12/20,,22112.0,1.67,10.33,15.24,13.95,,,,,,,,,
