ticker,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,rd,peg,profit_margin,roa,roe
ITRI,1/1/21,-65,nan,—,14.23,12.03,21.53,5.63,6,201,0,-2.85,-2.28,-8.59
JD,1/1/21,28717,nan,—,149.5,28.51,22.19,—,—,15237,1.1,4.15,9.26,25.36
JEC,1/1/21,3,nan,nan,84.62,8.1,-2.33,-12.38,-6.88,—,0,17.56,5.08,18.15
JMIA,1/1/21,-177,nan,—,499.55,—,—,—,—,—,0,-120.5,-64.97,-110.72
KEYS,1/1/21,627,nan,—,28.71,46.98,36.06,—,—,715,0,14.85,9.06,19.9
KMX,1/1/21,690,nan,—,7.74,13.78,11.85,11.47,13.66,—,1.6,3.76,3.33,18.17
KOPN,1/1/21,-13,nan,—,505.83,-8.77,-2.23,-5.23,-5.13,6,0,-37.11,-29.13,-43.78
KYCCF,1/1/21,183856,nan,—,58.92,26.56,32.69,27.56,—,—,5.5,35.8,10.1,10.55
LH,1/1/21,845,nan,—,20.32,8.47,10.48,8.76,9.27,—,1.9,6.79,4.62,10.92
LILAK,1/1/21,-616,nan,—,-40.05,-16.8,-22.96,—,—,—,0,-16.91,-4.38,-21.24
LLNW,1/1/21,-9,nan,—,-2.21,-3.28,22.27,-3.69,—,22,0,-3.62,-3.2,-5.07
LMND,1/1/21,-121,nan,—,—,—,—,—,—,—,0,-124.46,-14.56,-21.28
LSXMA,1/1/21,264,nan,—,-10.65,2.88,—,—,—,—,0,3.34,0.84,2.63
LSXMK,1/1/21,264,nan,—,-8.12,3.7,—,—,—,—,0,3.34,0.84,2.63
LULU,1/1/21,557,nan,—,50.23,64.22,46,26.11,—,—,3.1,13.69,17.19,29.23
LYFT,1/1/21,-1651,nan,—,14.2,—,—,—,—,971,0,-58.71,-30.85,-66.13
LYV,1/1/21,-1441,nan,—,2.81,19.96,24.5,20.46,12.18,—,0,-32.63,-14.12,-247.92
MACK,1/1/21,1,nan,—,118.73,-4.65,-24.42,—,—,—,0,nan,nan,nan
MAT,1/1/21,-4,nan,—,28.78,4.3,-6.06,0.42,4.42,—,0,-0.08,-0.07,-0.87
MD,1/1/21,-723,nan,—,-11.69,-22.85,-19.29,-3.11,0.69,—,0,-20.6,-18.74,-63.29
MELI,1/1/21,-4,nan,—,192.9,74.61,71.09,38.08,—,294,0,-0.39,-0.25,-0.69
MGLN,1/1/21,134,nan,—,5.87,-4.98,6.08,5.77,6.67,—,0,1.88,4.11,9.11
MGNX,1/1/21,-158,nan,—,110.11,6.36,-5.89,—,—,203,0,-204.24,-43.55,-57.81
MHK,1/1/21,532,nan,—,3.35,-20.06,-5.74,9.52,3.27,—,0,5.7,3.92,6.68
MHO,1/1/21,202,nan,—,12.55,8.79,15.1,11.16,0.62,—,0,6.99,8.76,18.93
MIDD,1/1/21,264,nan,—,17.71,-1.51,3.63,16.44,15.73,—,0,10.28,5.32,13.61
MKL,1/1/21,480,nan,—,-9.61,-3.2,3.19,10.58,8.19,—,0,5.06,1.17,4.11
MNST,1/1/21,1193,nan,—,45.52,13.48,13.25,26.64,24.92,—,2.8,26.99,22.02,27.3
MOD,1/1/21,-6,nan,—,63.12,-14.65,6.77,-2.08,-5.28,—,0,-0.31,-0.36,-1.06
MOH,1/1/21,807,nan,—,56.74,40.5,28.74,27.61,18,—,0,4.39,11.07,40.03
MRNA,1/1/21,-598,nan,—,434.1,—,—,—,—,729,0,-242.34,-19.16,-29.81
MTCH,1/1/21,88,nan,—,69.26,51.08,47.67,30.96,14.73,357,2.9,1.77,1.61,12.16
MTD,1/1/21,579,nan,—,43.67,22.53,27.43,22.38,22.36,136,5.8,19.36,21.44,131.43
MTZ,1/1/21,311,nan,—,6.27,11.68,31.44,16.67,13.3,—,0,4.86,6.18,17.51
NAV,1/1/21,-347,nan,—,51.9,0.83,37.82,-2.72,2.9,321,0,nan,nan,nan
NCR,1/1/21,467,nan,—,6.85,3.39,8.96,9.35,4.26,243,0,6.84,4.84,46.02
NEWR,1/1/21,-132,nan,—,-0.47,4.22,12.41,—,—,165,181.7,-20.65,-11.07,-34.92
NFLX,1/1/21,2806,nan,—,67.11,41.23,36.44,35.93,39.01,1752,2.3,11.78,8.07,32.64
NIO,1/1/21,-7012,nan,—,1112.44,—,—,—,—,2685,0,-56.26,-27.37,-314.06
NLS,1/1/21,34,nan,—,936.57,10.76,1.64,26.13,0.06,15,0,7.36,14.73,33.09
NNVC,1/1/21,-14,nan,—,14.34,-45.37,-34.39,-30.08,-18.55,5,0,nan,nan,nan
NOW,1/1/21,701,nan,—,94.97,61.62,44.77,—,—,942,3.1,16.6,11.24,34.15
NSIT,1/1/21,162,nan,—,8.25,25.72,24.81,19.18,9.46,—,1.2,1.94,4.15,13.71
NVAX,1/1/21,-273,nan,—,2701.76,65.05,-7.85,8.66,2.5,375,0,nan,nan,nan
